semantic_tokens,IsHatespeech,IsToxic,IsAbusive,IsThreat,IsProvocative,IsObscene,IsRacist,IsNationalist,IsSexist,IsHomophobic,IsReligiousHate,IsRadicalism
"['CALIFORNIAN', 'DESERVE', 'BACKUP', 'ELECT', 'PEOPLE', 'ALLOW', 'HAPPEN', 'CONSEQUENCE', 'TRY', 'LIVE', 'SHOOT', 'RUNNE']",True,True,True,False,True,False,True,True,False,False,False,False
"['BUY', 'SHOOT']",False,True,True,True,False,False,False,False,False,False,False,False
"['OBVIOUSLY', 'WELL', 'UNDERSTANDING', 'EVENT', 'SURROUND', 'UNFORTUNATE', 'EVENT', 'PRESIDENTI', 'CALL', 'UNFORTUNATE', 'OFFICER', 'DESTROY', 'JOB', 'FEAR', 'POLICE', 'HESITATE', 'FIND', 'RAPIDLY', 'GROW', 'SITUATION', 'THANK', 'INDEPTH', 'HONEST', 'DISSERTATION', 'TOM', 'KELVER', 'SEEK', 'HELP', 'GO', 'BACK', 'SCHOOL', 'GET', 'DRUG']",False,True,True,False,False,False,False,False,False,False,False,False
"['MAN', 'GUY', 'BUNCH', 'WAFFLE', 'NONSENSE', 'COME', 'MOUTH', 'ANSWER', 'QUESTION']",False,True,True,False,False,False,False,False,False,False,False,False
"['ATTACK', 'POLICE', 'OFFICER', 'STEAL', 'STORE', 'EXPECT']",False,False,False,False,False,False,False,False,False,False,False,False
"['FUNNY', 'DOCTOR', 'PUSH', 'DRUG', 'LEGAL', 'EVEN', 'PRESCRIPTION', 'DRUG', 'ABUSE', 'MINORITY', 'LOCK', 'YEAR', 'KNOW', 'BENEFICIAL', 'ECONOMY', 'WAR', 'DRUG', 'START', 'GOVERNMENT', 'STILL', 'SUPPLY', 'STREET', 'DAY', 'RACIAL', 'PROFILING', 'STUPID', 'CAUCASIAN', 'COMMIT', 'MASS', 'SHOOTING', 'SEE', 'SEARCH', 'GO', 'MALL', 'MOVIE', 'THEATER', 'SCHOOL']",False,False,False,False,False,False,False,False,False,False,False,False
"['FEMALE', 'UNCLE', 'RUCKUS']",False,False,False,False,False,False,False,False,False,False,False,False
"['COP', 'SHOOT', 'WHITE', 'GUY', 'RIOT', 'SHOOT', 'BLACK', 'GUY', 'SEEM', 'THINK', 'BLACK', 'LOOK', 'EVIDENCE', 'SKIN', 'COLOR', 'ALWAYS', 'THROW', 'RACE', 'CARD', 'CRAP']",False,False,False,False,False,False,False,False,False,False,False,False
"['ACT', 'ANIMAL', 'TREAT', 'ANIMAL']",True,True,False,False,False,False,True,False,False,False,False,False
"['BRING', 'TEAR', 'GAS', 'ROUND', 'RUBBER', 'BULLET']",False,True,True,False,True,False,False,False,False,False,False,False
"['SAY', 'MICHEAL', 'BROWN', 'DESERVE', 'GARNER']",False,False,False,False,False,False,False,False,False,False,False,False
"['PEOPLE', 'SAY', 'BLACK', 'PLAY', 'VICTIM', 'ACCORD', 'COMMENT', 'FAULT', 'ELECT', 'OFFICAL', 'RACIST', 'WHITE', 'GOOD', 'THING', 'GO', 'RACIST', 'WHITE', 'FOLK', 'POINT', 'FINGER', 'TAKE', 'PUNK', 'BITCH', 'POWER', 'GOIN', 'BACK', 'RACISM', 'DEPORT', 'ELSE']",True,True,False,False,False,False,True,False,False,False,False,False
"['DUMB', 'FUCK', 'SCREW', 'FELLOW', 'CITIZEN', 'INSTEAD', 'PROTEST', 'POLICE']",False,True,True,False,False,False,False,False,False,False,False,False
"['BLACK', 'OFFICER', 'SHOOT', 'WHITE', 'GUY', 'FINE', 'BLACK', 'PEOPLE', 'RACIST']",True,True,False,False,False,False,True,False,False,False,False,False
"['PEGGY', 'WATCH', 'LIFE', 'LEADERSHIP', 'REVOLUTION', 'VIDEO', 'PEOPLE', 'SMART', 'GOOD', 'MENTOR', 'REALLY', 'THINK', 'RESEARCH', 'TRAINING', 'GREAT', 'LEADER', 'KEEP', 'GREAT', 'WORK']",False,False,False,False,False,False,False,False,False,False,False,False
"['WHITE', 'RACE', 'RACIST', 'RACE']",True,True,False,False,False,False,True,False,False,False,False,False
"['MOLYNEUX', 'RECITE', 'RAP', 'LYRIC', 'INTENSE']",False,False,False,False,False,False,False,False,False,False,False,False
"['PEOPLE', 'SHOOT', 'EVERYDAY', 'COME', 'ONE', 'GET', 'ATTENTION']",False,False,False,False,False,False,False,False,False,False,False,False
"['LOL', 'HAPPEN', 'GREEDY', 'RICH', 'SLIME', 'KEEP', 'MASSE', 'UNEDUCATED', 'IGNORANT', 'DEAL', 'STUPID', 'CREATE', 'TRY', 'REASON', 'IRRATIONAL', 'EXERCISE', 'FUTILITY', 'GET', 'POPCORN', 'READY', 'BOIL', 'FALL', 'TALK', 'FALL', 'WALK']",False,True,True,False,False,False,False,False,False,False,False,False
"['BELIEVE', 'RECITE', 'MUSIC', 'LISTEN', 'COP', 'USE', 'EXCESSIVE', 'FORCE', 'COP', 'BECOME', 'JUDGE', 'JURY', 'EXECUTIONER', 'SOCIETY', 'SCREW', 'ISSUE', 'COP', 'TRAIN', 'ESCALATION', 'FORCE', 'USE', 'NON', 'LETHAL', 'MEAN', 'APPREHEND', 'CIVILIAN', 'SUSPECT']",False,False,False,False,False,False,False,False,False,False,False,False
"['INJUSTICE', 'WHITE', 'KID', 'EXCUSE']",False,True,True,False,True,False,False,False,False,False,False,False
"['CHARGE', 'ARMED', 'COP', 'DANGEROUS', 'WEAPON']",False,False,False,False,False,False,False,False,False,False,False,False
"['FUCKING', 'COMMIE', 'EVEN', 'KNOW', 'HAPPEN']",False,True,True,False,False,True,False,False,False,False,False,False
"['YET', 'REASON', 'POLICE', 'NEED', 'WEAR', 'AV', 'RECORDING', 'DEVICE', 'TIME', 'PEOPLE', 'WELL', 'REALLY', 'HELP', 'ENSURE', 'TRUTH', 'MAINTAIN', 'TIME', 'IMAGINE', 'OFFICER', 'POV', 'CAMERA', 'SHOW', 'SITUATION']",False,False,False,False,False,False,False,False,False,False,False,False
"['HATE', 'BASTERD', 'FUNNY', 'TRY', 'PUSH', 'FLIP', 'BACK', 'TOP', 'HACOPCARCANSTILLFIGHTBACK']",False,True,True,False,False,False,False,False,False,False,False,False
"['GET', 'PROTEST', 'LIKE', 'WRONG', 'PEOPLE']",False,False,False,False,False,False,False,False,False,False,False,False
['HQ'],False,False,False,False,False,False,False,False,False,False,False,False
"['TIME', 'INTERVIEW', 'PERSON', 'NOTICE', 'GHETTO', 'CLEARLY', 'SEE', 'EDUCATION', 'PRESCHOOLER', 'EVER', 'PROTEST', 'INCREDIBLE', 'STUPID', 'STUFF', 'DISAPPOINT', 'RESPECT', 'IGNORANT', 'BLACK', 'PEOPLE', 'ALWAYS', 'RUIN', 'THING', 'SAY', 'ALWAYS', 'VICTIM', 'WAKE', 'STUPID', 'GUY', 'ONE', 'MAKE', 'LOOK', 'STUPID']",True,True,False,False,False,False,True,False,False,False,False,False
"['BASICALLY', 'TALK', 'BLACK', 'LIFE', 'MATTER', 'GUESS', 'LOOT', 'RIOTING', 'TAKE', 'PLACE', 'ASSHOLE', 'ROB', 'DRUG', 'COMMUNITY', 'HIT', 'POINT', 'BELIEVE', 'POLICE', 'BRUTALITY', 'WANT', 'REFORM', 'KNOW', 'RACISM', 'ALSO', 'KNOW', 'GO', 'TAKE', 'FUCKING', 'SECOND', 'LOOK', 'BLACK', 'RIGHT', 'BLACK', 'PEOPLE', 'TAKE', 'STAND', 'SELF', 'DESTRUCTION']",False,False,False,False,False,False,False,False,False,False,False,False
"['BLACK', 'LIFE', 'SPLATTER']",False,True,True,False,True,False,False,False,False,False,False,False
"['WHITE', 'SUPREMACY', 'GOOD']",True,True,False,False,False,False,True,False,False,False,False,False
"['WORD', 'PROVOCATEUR']",False,False,False,False,False,False,False,False,False,False,False,False
"['READ', 'DUDE', 'RAP', 'GOOD', 'PART']",False,False,False,False,False,False,False,False,False,False,False,False
"['FRIEND', 'KILL', 'MEAN', 'BURN', 'LOCAL', 'HOME', 'ITEM', 'SEEM', 'CORRECT']",False,True,True,False,True,False,False,False,False,False,False,False
"['GUY', 'LITTLE', 'BIASED', 'SURE', 'MAYBE', 'BRING', 'FACT', 'TASER', 'USE', 'AVOID', 'FORENSIC', 'TELL', 'TRULY', 'HAPPEN', 'HIGHLY', 'DOUBT', 'NEED', 'SHOOT', 'TIME', 'CALL', 'BACK', 'ONE', 'SAY', 'COP', 'HERO', 'HANDLE', 'KID', 'ESPECIALLY', 'ACT', 'AGGRESSIVELY', 'SAY', 'COP', 'COMPLETELY', 'RIGHT', 'RACIST', 'STEFAN', 'COME', 'CRAZY', 'COP', 'HOLD', 'HIGH', 'STANDARD', 'FIRST', 'COP', 'MISTAKE', 'CALL', 'BACKUP', 'SECOND', 'TRY', 'GET', 'DOOR', 'RIGHT', 'KID', 'LOL', 'REMEMBER', 'TRAINING', 'GET', 'SPACE', 'HANDLE', 'SITUATION', 'WELL', 'UNCLE', 'COP', 'TELL', 'ALSO', 'TASER', 'FIRST', 'MOVE', 'CHARGE', 'EVEN', 'PURSUE', 'BLOCK', 'AWAY', 'WAIT', 'BACK']",False,False,False,False,False,False,False,False,False,False,False,False
"['DUDE', 'KNOCK', 'PHONE', 'STEAL', 'FERGUSON']",False,False,False,False,False,False,False,False,False,False,False,False
"['STUPID', 'ARAB', 'POLICE', 'SHOOT', 'APPREHEND', 'WORK', 'ATTACK']",True,True,False,False,False,False,True,False,False,False,False,False
"['CELL', 'PHONE', 'VIDEO', 'SHOW', 'ANYMORE', 'GET', 'SORRY', 'MESSAGE', 'SAY', 'PRIVATE']",False,False,False,False,False,False,False,False,False,False,False,False
"['WAIT', 'RIOT', 'PEOPLE', 'STAND', 'BOREDLY', 'SIDEWALK', 'GUY', 'GUN', 'MIDDLE', 'TRAFFIC']",False,False,False,False,False,False,False,False,False,False,False,False
"['RACIST', 'PIECE', 'SHIT', 'REACH', 'JUSTIFY', 'MURDER', 'EXTREMELY', 'SHAMEFUL', 'SLANT', 'FACT', 'ORDER', 'JUSTIFY', 'RACIST', 'BIASED', 'VIEW']",False,True,True,False,False,True,False,False,False,False,False,False
[],False,False,False,False,False,False,False,False,False,False,False,False
"['SHOW', 'TITLE', 'BELONG', 'HOST', 'NAME']",False,False,False,False,False,False,False,False,False,False,False,False
"['LEGEND', 'STILL', 'YELL', 'MOVE']",False,False,False,False,False,False,False,False,False,False,False,False
"['BLACK', 'GET', 'PREJUDICE', 'EASILY']",True,True,False,False,False,False,True,False,False,False,False,False
"['LOOOOOOOOOOOOOOOOOOOOOOOVE', 'COP', 'WITNESS', 'ALSO', 'CLUELESS', 'RIOT', 'ALSO', 'DECADE', 'POLICE', 'VIOLENCE', 'REPRESSION', 'AREAALSO', 'IGNORANT', 'EFFECT']",False,False,False,False,False,False,False,False,False,False,False,False
"['GO', 'GIRL', 'LISTEN', 'TWICE', 'RETWEETE', 'TWICE', 'FIRST', 'GATEWAY', 'PUNDENT', 'SECOND', 'BLESS', 'GOD', 'SPEED', 'VID']",False,False,False,False,False,False,False,False,False,False,False,False
"['DIRTBAG', 'INCLUDE']",False,True,True,False,False,False,False,False,False,False,False,False
"['THINK', 'GET', 'BUNCH', 'FACT', 'LEAN', 'MAKE', 'SKITTLE', 'ICED', 'TEA', 'KNOW', 'ROBBERY', 'VIDEO', 'BUNCH', 'POPPY', 'COCK', 'THANK', 'WASTE', 'TIME']",False,True,True,False,True,False,False,False,False,False,False,False
"['PEOPLE', 'SEE', 'MISSISSIPPI', 'BURN', 'WAY', 'MANY', 'TIME']",False,False,False,False,False,False,False,False,False,False,False,False
"['TIME', 'WANT', 'SEE', 'SNIPER', 'BUSH', 'START', 'PICK']",False,True,True,False,True,False,False,False,False,False,False,False
"['COP', 'PIG']",False,True,True,False,False,False,False,False,False,False,False,False
"['GET', 'TIME', 'WORK']",False,False,False,False,False,False,False,False,False,False,False,False
"['POLICE', 'CHARGE']",False,False,False,False,False,False,False,False,False,False,False,False
"['WANT', 'JUSTICE', 'SEE', 'MOB', 'MENTALITY', 'ACTION', 'GUILTY', 'MATTER', 'GRAND', 'JURY', 'SAY', 'MATTER', 'EVIDENCE', 'SAY', 'LET', 'HANG', 'NEAR', 'TREE', 'OFFICER', 'RIGHT', 'NEED', 'LEARN', 'SPEAK', 'PROPER', 'ENGLISH', 'GET', 'JOB', 'BIG', 'RACEST', 'WHITE', 'CROWD', 'JAIL']",True,True,False,False,False,False,True,False,False,False,False,False
"['HAPPEN', 'DRIVE', 'COP', 'SHIT', 'MESS', 'LET', 'FINISH', 'SAY', 'NEED', 'GET', 'HOME', 'WORK', 'SEE', 'LONG', 'LINE', 'CAR', 'HOLD', 'PEOPLE', 'BULLSHIT']",False,True,True,True,True,False,False,False,False,False,False,False
"['ARREST', 'BLOCK', 'HIGHWAY', 'WANT', 'PROTEST', 'SOMEWHERE', 'ELSE']",False,False,False,False,False,False,False,False,False,False,False,False
['BLACK'],True,True,False,False,False,False,True,False,False,False,False,False
"['TRUE', 'DICTATORSHIP', 'LET', 'WAIT', 'CHECK', 'COUTRIE', 'START', 'SANCTION', 'GOVERNMENT', 'GUESS', 'NONE', 'COUNTRY', 'CORRUPTED', 'COUNTRY', 'WORLD']",False,True,True,False,True,False,False,False,False,False,False,False
"['TURN', 'AUTOTUNE', 'RAP', 'SONG']",False,False,False,False,False,False,False,False,False,False,False,False
['HOAX'],False,False,False,False,False,False,False,False,False,False,False,False
"['COUNTY', 'GO', 'BACK', 'COUNTY', 'B']",True,True,False,False,False,False,True,False,False,False,False,False
"['TIP', 'HAT']",False,False,False,False,False,False,False,False,False,False,False,False
"['PICK', 'GUN', 'KILL', 'COP', 'ALREADY', 'STYLE']",False,True,True,False,True,False,False,False,False,False,False,False
"['SAD', 'DISGRACE', 'BLACK', 'PEOPLE']",False,True,True,False,False,False,False,False,False,False,False,False
"['FURGUSUN', 'UNITID', 'STATETH', 'RETARD', 'START', 'VIOLENT', 'PROTEST', 'TRY', 'PAWN', 'POLICE', 'STATE', 'LIE', 'COP', 'ARRIVE']",False,True,True,False,True,False,False,False,False,False,False,False
"['THUG', 'WORK', 'FEDEX', 'HOUSE', 'SERVE', 'WARRANT', 'VIDEO', 'BRANDISH', 'GUN', 'SHOOT', 'BACK', 'ILLEGAL', 'POLICE', 'OFFICER', 'RELEASE', 'DATUM', 'KNOW', 'SHOOT', 'KILL', 'ERROR', 'BALLBEY', 'CRIMINAL', 'RECORD', 'HUBBARD', 'ILLEGAL', 'GO', 'NATIONAL', 'TV', 'SLANDER', 'BALLBEY', 'SON', 'FRANKLY', 'SUE']",False,False,False,False,False,False,False,False,False,False,False,False
"['LOVE', 'SAEM', 'THING', 'GO', 'PEGGY', 'STUPID', 'YA', 'KILL', 'SELF', 'QUICK', 'STLPD', 'EVER', 'WAKEUP']",False,False,False,False,False,False,False,False,False,False,False,False
"['UPDATE', 'APOLOGIZE', 'FAIR', 'REPORT']",False,False,False,False,False,False,False,False,False,False,False,False
"['COME', 'OFFICER', 'THING', 'CHARGE', 'OFFICER', 'PERSON', 'FOOT', 'AWAY', 'EYEWITNESS', 'SAY']",False,False,False,False,False,False,False,False,False,False,False,False
"['PROTECT', 'SERVE', 'PEOPLE', 'GUY', 'DESERVE', 'KILL', 'CRY']",False,True,True,False,True,False,False,False,False,False,False,False
"['LIBERAL', 'NONSENSE']",True,True,False,False,False,False,False,False,False,False,False,False
"['FEEL', 'THIRSTY', 'VIOLENCE', 'RATHER', 'KNOWLEDGE']",False,False,False,False,False,False,False,False,False,False,False,False
"['JOB', 'FUCK', 'LOSER', 'GET', 'WAY']",False,True,True,False,False,False,False,False,False,False,False,False
"['PLENTY', 'WHITE', 'PEOPLE', 'CARE', 'EXACT', 'VIEW', 'WOMAN', 'DEEM', 'RACIST', 'STOP', 'CARE']",False,False,False,False,False,False,False,False,False,False,False,False
"['LEAVE', 'VIDEO', 'SOMETIMES', 'TRUTH', 'HURT', 'THANK', 'POST', 'VIDEO']",False,False,False,False,False,False,False,False,False,False,False,False
"['THINK', 'DEAL', 'SITUATION', 'DRIVER', 'WORK', 'THING', 'COME', 'GET', 'CAR', 'GET', 'DRIVER', 'STOPPE', 'CAR', 'COME', 'CLEAN', 'ROAD', 'SELF', 'JUSTICE', 'SUPPORT', 'IRRATIONALLY', 'RATIONALLY']",False,True,True,False,True,False,False,False,False,False,False,False
"['MOVE', 'TAZE', 'ARREST']",False,False,False,False,False,False,False,False,False,False,False,False
"['AUDIT', 'FERGUSON', 'POLICE', 'DEPARTMENT', 'FIND', 'COUNT', 'EXCESSIVE', 'USE', 'POLICE', 'FORCE', 'ADDITION', 'FIND', 'EMAIL', 'CONTAIN', 'DISCRIMINATORY', 'LANGUAGE', 'DEPARTMENT', 'COMPUTER', 'FEDERAL', 'GOVERNMENT', 'PURSUE', 'CRIMINAL', 'CASE', 'FERGUSON', 'POLICE', 'DEPARTMENT', 'WONDER', 'TRY', 'DEFEND', 'ONE']",False,False,False,False,False,False,False,False,False,False,False,False
"['LOOK', 'DEEP', 'HAPPEN', 'BLACK', 'PEOPLE', 'PUT', 'BLACK', 'PEOPLE', 'SITUATION', 'BLACK', 'PEOPLE', 'HOPE', 'LEARN', 'HISTORY']",False,False,False,False,False,False,False,False,False,False,False,False
['UNEMPLOYED'],False,True,True,False,True,False,False,False,False,False,False,False
"['MANY', 'SHOT', 'DISABLE', 'MAN', 'OFFICER', 'FEEL', 'THREATENED', 'CALL', 'BACKUP', 'MANY', 'SHOT', 'MAN', 'CONTINUE', 'THREATEN', 'TRANSCRIPT', 'WITNESS', 'EVIDENCE', 'RELEASE', 'SEEM', 'QUESTION', 'UNANSWERED', 'ANSWER', 'PRAY', 'INVOLVE', 'FIND', 'PEACE', 'TERRIBLE', 'ENCOUNTER', 'AMAN']",False,False,False,False,False,False,False,False,False,False,False,False
"['HUGE', 'WISDOM', 'EAR', 'LISTEN']",False,False,False,False,False,False,False,False,False,False,False,False
"['BLESS', 'POLICE']",False,False,False,False,False,False,False,False,False,False,False,False
"['LET', 'REVERSE', 'ROLL', 'BLACK', 'RACIST', 'COP', 'RICH', 'WHITE', 'PROVE', 'RACIST', 'WHITE', 'MAN', 'PISS', 'INTOLERABLE', 'CONDITION', 'UNLOAD', 'SEVERAL', 'CLIP', 'HIGH', 'CALIBER', 'AMMO', 'POINT', 'BLANK', 'RANGE', 'AUDACITY', 'QUESTION', 'AUTHORITY', 'NEED', 'FULL', 'ALERT', 'ELITIST', 'AGENDA', 'SET', 'PRESIDENT', 'QUESTION', 'AUTHORITY', 'ELITIST', 'UPPERCLASS', 'PROBLEM', 'PRISON', 'CULTURE', 'DRUG', 'CARTEL', 'EXPORT', 'JOB', 'IMPORT', 'CHEAP', 'LABOR', 'ELITIST', 'BAIL', 'SUPPORT', 'CORRUPT', 'SYSTEM', 'TURN', 'AROUND', 'GET', 'RACE', 'ISSUE', 'GOVT', 'INCITE', 'DIVIDE', 'WORK', 'CLASS', 'HARDLY', 'CALL', 'WORK', 'CLASS', 'GOVT', 'PUT', 'WORK', 'HOMELESS', 'CLASS', 'LET', 'GET', 'WESTERN', 'HISTORY', 'ROLE', 'BIG', 'MONEY', 'PLAY', 'CLUSTERFUCK', 'DESIGN', 'DESTROY', 'NATION', 'DESTROY', 'POINT', 'GET', 'BACK', 'ASK']",True,True,False,False,False,False,True,False,False,False,False,False
"['GLAD', 'PROTESTOR', 'AFFECT', 'MANY', 'PEOPLE', 'GIVE', 'PUBLIC', 'REASON', 'HATE']",False,True,True,False,True,False,False,False,False,False,False,False
"['NEED', 'GET', 'SHIT', 'STRAIGHT', 'NEVER', 'WEAPON', 'POINT', 'VID', 'READY', 'POSITION', 'RIOT', 'UNDERSTANDABLE', 'COURSE', 'ACTION', 'ONE', 'KNOW']",False,False,False,False,False,False,False,False,False,False,False,False
"['DESERVE', 'KILL', 'SMOKE', 'GANG', 'SIGN', 'ALLEGEDLY', 'STEAL', 'CIGAR']",False,False,False,False,False,False,False,False,False,False,False,False
"['IMPLY', 'FERGUSON', 'BLACK', 'ELECT', 'APPOINT', 'OFFICIAL', 'WHITE', 'MEAN', 'MAJORITY', 'PEOPLE', 'FERGUSON', 'REPRESENT', 'MOSTLY', 'BLACK', 'POPULATION', 'HAPPEN', 'VOTE', 'SUPPORT', 'WHITE', 'OFFICIAL', 'MEDIAN', 'INCOME', 'LOW', 'MO', 'WHOLE', 'POPULATION', 'MOSTLY', 'BLACK', 'STATISTIC']",False,False,False,False,False,False,False,False,False,False,False,False
"['GUY', 'HERO']",False,False,False,False,False,False,False,False,False,False,False,False
['CAUSE'],False,False,False,False,False,False,False,False,False,False,False,False
"['SAY', 'SOUND', 'SPIT', 'ARAB', 'EXPRESSION']",False,False,False,False,False,False,False,False,False,False,False,False
"['NEED', 'STOP', 'ACT', 'INNOCENT', 'GUY', 'NEVER', 'WRONG']",False,False,False,False,False,False,False,False,False,False,False,False
"['HOPE', 'FUCKER', 'SLAM', 'MAJOR', 'FINE', 'FUCK', 'IDIOT']",False,True,True,False,False,True,False,False,False,False,False,False
"['LONG', 'ALLEGEDLY', 'VIDEO', 'CONFIRM', 'FAMILY']",False,False,False,False,False,False,False,False,False,False,False,False
"['HYSTERICAL', 'ANYWAY', 'GOOD', 'NEWS', 'GUESS', 'KNOW', 'WHATSHISNAME', 'DOUCHE', 'DESERVE', 'DIE', 'PREMPTIVE', 'STRIKE', 'MAKE', 'OFFICER', 'TRASH', 'TAKE', 'STREET', 'PROBABLY', 'CURE', 'DISEASE', 'RATHER', 'TREAT', 'SYMPTOM', 'DISEASE', 'IGNORANCE', 'SELFENTITLEMENT', 'COMMUNITY', 'LOW', 'CLASS', 'GET', 'POVERTY', 'EASY', 'STARTING', 'POINT', 'EASY', 'STILL', 'FEASIBLE', 'RIGHT', 'AMOUNT', 'DRIVE']",False,True,True,False,True,False,False,False,False,False,False,False
"['HATE', 'BLACK', 'PEOPLE', 'ISIS', 'SYMPATHIZER', 'WANT', 'CALL', 'COMMUNITY', 'NONSENSE']",True,True,False,False,False,False,True,False,False,False,False,False
"['TELL', 'EVEN', 'TABOO', 'TALK', 'NEWS', 'MEDIUM', 'TOUCH', 'FOOT', 'POLEBLACK', 'WHITE', 'CRIME', 'BLACK', 'SEXUALLY', 'ASSAULT', 'WHITE', 'WOMAN', 'BLACK', 'WOMAN', 'SEXUALLY', 'ASSAULT', 'WHITE', 'MAN', 'USE', 'BOJ', 'MAKE', 'STAT', 'AVAILABLE', 'ONLINE', 'ANYMORE', 'STATE', 'STATISTIC', 'INFLAMMATORY', 'CERTAIN', 'ETHNIC', 'GROUP', 'TIP', 'ICEBERG']",False,False,False,False,False,False,False,False,False,False,False,False
['WELL'],False,False,False,False,False,False,False,False,False,False,False,False
"['KID', 'BEAT', 'SHIT']",False,True,True,False,True,True,False,False,False,False,False,False
"['SHARE', 'WOMAN', 'AWESOME']",False,False,False,False,False,False,False,False,False,False,False,False
['BEAUTIFUL'],False,True,True,False,True,False,False,False,False,False,False,False
"['FUCK', 'PEACEFUL', 'GUN', 'GAS', 'HUMAN', 'ROAD', 'BLOCK', 'PROBLEM', 'SOLVE']",False,True,True,False,True,True,False,False,False,False,False,False
"['EVER', 'VICTIM', 'POLICE', 'DISCRIMINATION', 'GAME', 'WHITE', 'SUPREMACY', 'DENY', 'INVOLVEMENT', 'PLAY', 'VICTIM', 'BLACK', 'NEVER', 'FAIL', 'WATCH', 'COMMENT']",True,True,False,False,False,False,True,False,False,False,False,False
"['GAS', 'GRENADE', 'PEPPER', 'SPRAY', 'KNIGHT', 'STICK', 'APPLY']",False,False,False,False,False,False,False,False,False,False,False,False
