CommentId,VideoId,Text,IsToxic,IsAbusive,IsThreat,IsProvocative,IsObscene,IsHatespeech,IsRacist,IsNationalist,IsSexist,IsHomophobic,IsReligiousHate,IsRadicalism,cleaned_text,semantic_tokens,processed_text
UghFPq5wKq9DUHgCoAEC,9pr1oE34bIM,"For all you people saying the cop was justified heres a new video with more witnesses saying Mr Brown had his hands up. 

http://www.cnn.com/2014/09/10/us/ferguson-michael-brown-shooting-witnesses/",False,False,False,False,False,False,False,False,False,False,False,False,FOR ALL YOU PEOPLE SAYING THE COP WAS JUSTIFIED HERES A NEW VIDEO WITH MORE WITNESSES SAYING MR BROWN HAD HIS HANDS UP,"['PEOPLE', 'SAY', 'COP', 'JUSTIFY', 'NEW', 'VIDEO', 'WITNESS', 'SAY', 'HAND']",PEOPLE SAY COP JUSTIFY NEW VIDEO WITNESS SAY HAND
Ugx3he2JevffnBpSued4AaABAg,Dt9-byUhPdg,"and what do the people see here,i can't even understand what they are saying,is this black America. is this good for the world to see,how do the people respect a race like this, when they see so much bad",True,False,False,False,False,True,True,False,False,False,False,False,AND WHAT DO THE PEOPLE SEE HEREI CANT EVEN UNDERSTAND WHAT THEY ARE SAYINGIS THIS BLACK AMERICA IS THIS GOOD FOR THE WORLD TO SEEHOW DO THE PEOPLE RESPECT A RACE LIKE THIS WHEN THEY SEE SO MUCH BAD,"['PEOPLE', 'SEE', 'HEREI', 'EVEN', 'UNDERSTAND', 'SAYINGIS', 'BLACK', 'GOOD', 'WORLD', 'SEEHOW', 'PEOPLE', 'RESPECT', 'RACE', 'SEE', 'MUCH', 'BAD']",PEOPLE SEE HEREI EVEN UNDERSTAND SAYINGIS BLACK GOOD WORLD SEEHOW PEOPLE RESPECT RACE SEE MUCH BAD
UgiMWjxMr-h5s3gCoAEC,dG7mZQvaQDk,"That community should be marching for peace hand in hand for the girl that was killed sitting in her home doing homework. She deserves at least that or society has let her down. Maybe Al Sharpton will lead ...
",False,False,False,False,False,False,False,False,False,False,False,False,THAT COMMUNITY SHOULD BE MARCHING FOR PEACE HAND IN HAND FOR THE GIRL THAT WAS KILLED SITTING IN HER HOME DOING HOMEWORK SHE DESERVES AT LEAST THAT OR SOCIETY HAS LET HER DOWN MAYBE AL SHARPTON WILL LEAD,"['COMMUNITY', 'MARCH', 'PEACE', 'HAND', 'HAND', 'GIRL', 'KILL', 'SIT', 'HOME', 'HOMEWORK', 'DESERVE', 'LEAST', 'SOCIETY', 'LET', 'MAYBE', 'LEAD']",COMMUNITY MARCH PEACE HAND HAND GIRL KILL SIT HOME HOMEWORK DESERVE LEAST SOCIETY LET MAYBE LEAD
UgjKH2wDH7jQ3ngCoAEC,04kJtp6pVXI,"I find it amusing how all of these protesters claim they're fighting against racism but yet they are blind to their own racism. There have been several reports of black people attacking white people. Just a couple of days ago, it was reported that a white man was beaten to death with a hammer by black teens in St. Louis. Yeah clearly no racial intent there. Fucking hypocrites. ",True,True,False,True,False,True,True,False,False,False,False,False,I FIND IT AMUSING HOW ALL OF THESE PROTESTERS CLAIM THEYRE FIGHTING AGAINST RACISM BUT YET THEY ARE BLIND TO THEIR OWN RACISM THERE HAVE BEEN SEVERAL REPORTS OF BLACK PEOPLE ATTACKING WHITE PEOPLE JUST A COUPLE OF DAYS AGO IT WAS REPORTED THAT A WHITE MAN WAS BEATEN TO DEATH WITH A HAMMER BY BLACK TEENS IN ST LOUIS YEAH CLEARLY NO RACIAL INTENT THERE FUCKING HYPOCRITES,"['FIND', 'AMUSE', 'PROTESTER', 'CLAIM', 'FIGHT', 'RACISM', 'YET', 'BLIND', 'RACISM', 'SEVERAL', 'REPORT', 'BLACK', 'PEOPLE', 'ATTACK', 'WHITE', 'PEOPLE', 'COUPLE', 'DAY', 'AGO', 'REPORT', 'WHITE', 'MAN', 'BEAT', 'DEATH', 'HAMMER', 'BLACK', 'TEEN', 'CLEARLY', 'RACIAL', 'INTENT', 'FUCK', 'HYPOCRITE']",FIND AMUSE PROTESTER CLAIM FIGHT RACISM YET BLIND RACISM SEVERAL REPORT BLACK PEOPLE ATTACK WHITE PEOPLE COUPLE DAY AGO REPORT WHITE MAN BEAT DEATH HAMMER BLACK TEEN CLEARLY RACIAL INTENT FUCK HYPOCRITE
Ugi-ouVi1-XNMngCoAEC,TZxEyoplYbI,"man, its all good that they fighting back just hope the minorities dont get rained on by these national guards. look at all those wepons. acting like its a war",False,False,False,False,False,False,False,False,False,False,False,False,MAN ITS ALL GOOD THAT THEY FIGHTING BACK JUST HOPE THE MINORITIES DONT GET RAINED ON BY THESE NATIONAL GUARDS LOOK AT ALL THOSE WEPONS ACTING LIKE ITS A WAR,"['MAN', 'GOOD', 'FIGHT', 'HOPE', 'MINORITY', 'RAIN', 'NATIONAL', 'GUARD', 'LOOK', 'WEPON', 'ACT', 'WAR']",MAN GOOD FIGHT HOPE MINORITY RAIN NATIONAL GUARD LOOK WEPON ACT WAR
Ugj9BpURKo9iMXgCoAEC,dG7mZQvaQDk,"This older, white conservative says Peggy for Vice President! Could you imagine a Trump/Hubbard ticket? WOWEEE WOW!",False,False,False,False,False,False,False,False,False,False,False,False,THIS OLDER WHITE CONSERVATIVE SAYS PEGGY FOR VICE PRESIDENT COULD YOU IMAGINE A TRUMPHUBBARD TICKET WOWEEE WOW,"['OLD', 'WHITE', 'CONSERVATIVE', 'SAY', 'VICE', 'PRESIDENT', 'IMAGINE', 'TRUMPHUBBARD', 'TICKET', 'WOWEEE']",OLD WHITE CONSERVATIVE SAY VICE PRESIDENT IMAGINE TRUMPHUBBARD TICKET WOWEEE
UgilrITkmW-kdXgCoAEC,9pr1oE34bIM,Why didn't they interview the constitution workers??? Who where caught on tape saying why did u shot he had his hands up,False,False,False,False,False,False,False,False,False,False,False,False,WHY DIDNT THEY INTERVIEW THE CONSTITUTION WORKERS WHO WHERE CAUGHT ON TAPE SAYING WHY DID U SHOT HE HAD HIS HANDS UP,"['INTERVIEW', 'CONSTITUTION', 'WORKER', 'CATCH', 'TAPE', 'SAY', 'SHOT', 'HAND']",INTERVIEW CONSTITUTION WORKER CATCH TAPE SAY SHOT HAND
UgyFQZ1GXkkmCrx9ER54AaABAg,cT14IbTDW2c,These Californians deserve this backup since they elect people that allow this to happen without consequences. If they tried that where I lived they would be shot at and runned over.,True,True,False,True,False,True,True,True,False,False,False,False,THESE CALIFORNIANS DESERVE THIS BACKUP SINCE THEY ELECT PEOPLE THAT ALLOW THIS TO HAPPEN WITHOUT CONSEQUENCES IF THEY TRIED THAT WHERE I LIVED THEY WOULD BE SHOT AT AND RUNNED OVER,"['CALIFORNIAN', 'DESERVE', 'BACKUP', 'ELECT', 'PEOPLE', 'ALLOW', 'HAPPEN', 'CONSEQUENCE', 'TRY', 'LIVE', 'SHOOT', 'RUNNE']",CALIFORNIAN DESERVE BACKUP ELECT PEOPLE ALLOW HAPPEN CONSEQUENCE TRY LIVE SHOOT RUNNE
Ugy3x2UAt4XUcipNTeZ4AaABAg,8HB18hZrhXc,Buy ak47 shoot all USA copa,True,True,True,False,False,False,False,False,False,False,False,False,BUY AK SHOOT ALL USA COPA,"['BUY', 'SHOOT']",BUY SHOOT
UghqB5l4L4hbbngCoAEC,9pr1oE34bIM,"Stefan,
Excellent!You obviously have a better understanding of the events surrounding this unfortunate event than our president.I call it unfortunate because Officer Wilson life has been destroyed for doing his job. My fear is that police will hesitate when finding themselves in this rapidly growing situation. Thank you for your in-depth and honest dissertation.

Tom Kelver seek help go back to school and get off the drugs.
                                     ",True,True,False,False,False,False,False,False,False,False,False,False,STEFAN EXCELLENTYOU OBVIOUSLY HAVE A BETTER UNDERSTANDING OF THE EVENTS SURROUNDING THIS UNFORTUNATE EVENT THAN OUR PRESIDENTI CALL IT UNFORTUNATE BECAUSE OFFICER WILSON LIFE HAS BEEN DESTROYED FOR DOING HIS JOB MY FEAR IS THAT POLICE WILL HESITATE WHEN FINDING THEMSELVES IN THIS RAPIDLY GROWING SITUATION THANK YOU FOR YOUR INDEPTH AND HONEST DISSERTATION TOM KELVER SEEK HELP GO BACK TO SCHOOL AND GET OFF THE DRUGS,"['OBVIOUSLY', 'WELL', 'UNDERSTANDING', 'EVENT', 'SURROUND', 'UNFORTUNATE', 'EVENT', 'PRESIDENTI', 'CALL', 'UNFORTUNATE', 'OFFICER', 'DESTROY', 'JOB', 'FEAR', 'POLICE', 'HESITATE', 'FIND', 'RAPIDLY', 'GROW', 'SITUATION', 'THANK', 'INDEPTH', 'HONEST', 'DISSERTATION', 'TOM', 'KELVER', 'SEEK', 'HELP', 'GO', 'BACK', 'SCHOOL', 'GET', 'DRUG']",OBVIOUSLY WELL UNDERSTANDING EVENT SURROUND UNFORTUNATE EVENT PRESIDENTI CALL UNFORTUNATE OFFICER DESTROY JOB FEAR POLICE HESITATE FIND RAPIDLY GROW SITUATION THANK INDEPTH HONEST DISSERTATION TOM KELVER SEEK HELP GO BACK SCHOOL GET DRUG
UggGaHoBXiLwX3gCoAEC,bUgKZMSxr3E,Man this guy has nothing but a bunch of waffling nonsense coming out of his mouth can you answer the question or what,True,True,False,False,False,False,False,False,False,False,False,False,MAN THIS GUY HAS NOTHING BUT A BUNCH OF WAFFLING NONSENSE COMING OUT OF HIS MOUTH CAN YOU ANSWER THE QUESTION OR WHAT,"['MAN', 'GUY', 'BUNCH', 'WAFFLE', 'NONSENSE', 'COME', 'MOUTH', 'ANSWER', 'QUESTION']",MAN GUY BUNCH WAFFLE NONSENSE COME MOUTH ANSWER QUESTION
Uggq0P2aJlQfangCoAEC,TZxEyoplYbI,didnt he attack a police officer? and steal from a store? what did you expect? ,False,False,False,False,False,False,False,False,False,False,False,False,DIDNT HE ATTACK A POLICE OFFICER AND STEAL FROM A STORE WHAT DID YOU EXPECT,"['ATTACK', 'POLICE', 'OFFICER', 'STEAL', 'STORE', 'EXPECT']",ATTACK POLICE OFFICER STEAL STORE EXPECT
Ughtzm6ks6FsIXgCoAEC,4rCweDxDqdw,"Its funny doctors push drugs its legal, even tho prescription drugs are abused the most, whereas minorities get locked up for years because of marijuana known to be beneficial to the economy. The war on drugs started with the government who still supplies the streets to this day. Racial profiling is stupid. Caucasians commit the most mass shootings I don't see them being searched before they go in malls, movie theaters, schools etc",False,False,False,False,False,False,False,False,False,False,False,False,ITS FUNNY DOCTORS PUSH DRUGS ITS LEGAL EVEN THO PRESCRIPTION DRUGS ARE ABUSED THE MOST WHEREAS MINORITIES GET LOCKED UP FOR YEARS BECAUSE OF MARIJUANA KNOWN TO BE BENEFICIAL TO THE ECONOMY THE WAR ON DRUGS STARTED WITH THE GOVERNMENT WHO STILL SUPPLIES THE STREETS TO THIS DAY RACIAL PROFILING IS STUPID CAUCASIANS COMMIT THE MOST MASS SHOOTINGS I DONT SEE THEM BEING SEARCHED BEFORE THEY GO IN MALLS MOVIE THEATERS SCHOOLS ETC,"['FUNNY', 'DOCTOR', 'PUSH', 'DRUG', 'LEGAL', 'EVEN', 'PRESCRIPTION', 'DRUG', 'ABUSE', 'MINORITY', 'LOCK', 'YEAR', 'KNOW', 'BENEFICIAL', 'ECONOMY', 'WAR', 'DRUG', 'START', 'GOVERNMENT', 'STILL', 'SUPPLY', 'STREET', 'DAY', 'RACIAL', 'PROFILING', 'STUPID', 'CAUCASIAN', 'COMMIT', 'MASS', 'SHOOTING', 'SEE', 'SEARCH', 'GO', 'MALL', 'MOVIE', 'THEATER', 'SCHOOL']",FUNNY DOCTOR PUSH DRUG LEGAL EVEN PRESCRIPTION DRUG ABUSE MINORITY LOCK YEAR KNOW BENEFICIAL ECONOMY WAR DRUG START GOVERNMENT STILL SUPPLY STREET DAY RACIAL PROFILING STUPID CAUCASIAN COMMIT MASS SHOOTING SEE SEARCH GO MALL MOVIE THEATER SCHOOL
Ughj539YD_W0mHgCoAEC,dG7mZQvaQDk,The female Uncle Ruckus,False,False,False,False,False,False,False,False,False,False,False,False,THE FEMALE UNCLE RUCKUS,"['FEMALE', 'UNCLE', 'RUCKUS']",FEMALE UNCLE RUCKUS
UgjJBCVWZfyM6ngCoAEC,04kJtp6pVXI,"If that cop shot a white guy, there would not be any riots. But since he shot a black guy, everyone seems to think it was because he was black. Look at the evidence not skin color. Everyone always throws out the race card over crap like this.",False,False,False,False,False,False,False,False,False,False,False,False,IF THAT COP SHOT A WHITE GUY THERE WOULD NOT BE ANY RIOTS BUT SINCE HE SHOT A BLACK GUY EVERYONE SEEMS TO THINK IT WAS BECAUSE HE WAS BLACK LOOK AT THE EVIDENCE NOT SKIN COLOR EVERYONE ALWAYS THROWS OUT THE RACE CARD OVER CRAP LIKE THIS,"['COP', 'SHOOT', 'WHITE', 'GUY', 'RIOT', 'SHOOT', 'BLACK', 'GUY', 'SEEM', 'THINK', 'BLACK', 'LOOK', 'EVIDENCE', 'SKIN', 'COLOR', 'ALWAYS', 'THROW', 'RACE', 'CARD', 'CRAP']",COP SHOOT WHITE GUY RIOT SHOOT BLACK GUY SEEM THINK BLACK LOOK EVIDENCE SKIN COLOR ALWAYS THROW RACE CARD CRAP
UgiBZnwqmnNYUXgCoAEC,04kJtp6pVXI,If you act like animals you get treated like animals,True,False,False,False,False,True,True,False,False,False,False,False,IF YOU ACT LIKE ANIMALS YOU GET TREATED LIKE ANIMALS,"['ACT', 'ANIMAL', 'TREAT', 'ANIMAL']",ACT ANIMAL TREAT ANIMAL
UgwD99RQc_KskXUni-N4AaABAg,cT14IbTDW2c,Well... bring out the tear gas and the beanbag rounds and rubber bullets,True,True,False,True,False,False,False,False,False,False,False,False,WELL BRING OUT THE TEAR GAS AND THE BEANBAG ROUNDS AND RUBBER BULLETS,"['BRING', 'TEAR', 'GAS', 'ROUND', 'RUBBER', 'BULLET']",BRING TEAR GAS ROUND RUBBER BULLET
UggVS57TNwzjhHgCoAEC,TZxEyoplYbI,Everyone is saying Micheal brown deserved it but what about treyvon Martin and Eric garner ,False,False,False,False,False,False,False,False,False,False,False,False,EVERYONE IS SAYING MICHEAL BROWN DESERVED IT BUT WHAT ABOUT TREYVON MARTIN AND ERIC GARNER,"['SAY', 'MICHEAL', 'BROWN', 'DESERVE', 'GARNER']",SAY MICHEAL BROWN DESERVE GARNER
UggrBEWmmOsJq3gCoAEC,4rCweDxDqdw,"People say blacks play the victim. 

But according to the comments its our fault that  the elected officals are racists. 

Whites had a good thing going in Missouri but they had to be racist.  

All white folks do is point fingers.  
Take these punk bitches out of power.  

We goin back to racism. 

Deport everyone else.  

 ",True,False,False,False,False,True,True,False,False,False,False,False,PEOPLE SAY BLACKS PLAY THE VICTIM BUT ACCORDING TO THE COMMENTS ITS OUR FAULT THAT THE ELECTED OFFICALS ARE RACISTS WHITES HAD A GOOD THING GOING IN MISSOURI BUT THEY HAD TO BE RACIST ALL WHITE FOLKS DO IS POINT FINGERS TAKE THESE PUNK BITCHES OUT OF POWER WE GOIN BACK TO RACISM DEPORT EVERYONE ELSE,"['PEOPLE', 'SAY', 'BLACK', 'PLAY', 'VICTIM', 'ACCORD', 'COMMENT', 'FAULT', 'ELECT', 'OFFICAL', 'RACIST', 'WHITE', 'GOOD', 'THING', 'GO', 'RACIST', 'WHITE', 'FOLK', 'POINT', 'FINGER', 'TAKE', 'PUNK', 'BITCH', 'POWER', 'GOIN', 'BACK', 'RACISM', 'DEPORT', 'ELSE']",PEOPLE SAY BLACK PLAY VICTIM ACCORD COMMENT FAULT ELECT OFFICAL RACIST WHITE GOOD THING GO RACIST WHITE FOLK POINT FINGER TAKE PUNK BITCH POWER GOIN BACK RACISM DEPORT ELSE
Ugz9ivFXd1rsMNs395p4AaABAg,cT14IbTDW2c,"Those dumb fucks, screwing fellow citizens over instead of protesting against the police. 🤦‍♂️",True,True,False,False,False,False,False,False,False,False,False,False,THOSE DUMB FUCKS SCREWING FELLOW CITIZENS OVER INSTEAD OF PROTESTING AGAINST THE POLICE,"['DUMB', 'FUCK', 'SCREW', 'FELLOW', 'CITIZEN', 'INSTEAD', 'PROTEST', 'POLICE']",DUMB FUCK SCREW FELLOW CITIZEN INSTEAD PROTEST POLICE
UgjodqpHT_cLnHgCoAEC,04kJtp6pVXI,If a black officer shot a white guy it would be fine by black people.  I'm not a racist. ,True,False,False,False,False,True,True,False,False,False,False,False,IF A BLACK OFFICER SHOT A WHITE GUY IT WOULD BE FINE BY BLACK PEOPLE IM NOT A RACIST,"['BLACK', 'OFFICER', 'SHOOT', 'WHITE', 'GUY', 'FINE', 'BLACK', 'PEOPLE', 'RACIST']",BLACK OFFICER SHOOT WHITE GUY FINE BLACK PEOPLE RACIST
Ugjqg9qKsdKAwHgCoAEC,dG7mZQvaQDk,Peggy you should watch life leadership revolution videos. these people are very smart and very good mentors. really think if you did some research and training you would be a great leader. keep up the great work,False,False,False,False,False,False,False,False,False,False,False,False,PEGGY YOU SHOULD WATCH LIFE LEADERSHIP REVOLUTION VIDEOS THESE PEOPLE ARE VERY SMART AND VERY GOOD MENTORS REALLY THINK IF YOU DID SOME RESEARCH AND TRAINING YOU WOULD BE A GREAT LEADER KEEP UP THE GREAT WORK,"['PEGGY', 'WATCH', 'LIFE', 'LEADERSHIP', 'REVOLUTION', 'VIDEO', 'PEOPLE', 'SMART', 'GOOD', 'MENTOR', 'REALLY', 'THINK', 'RESEARCH', 'TRAINING', 'GREAT', 'LEADER', 'KEEP', 'GREAT', 'WORK']",PEGGY WATCH LIFE LEADERSHIP REVOLUTION VIDEO PEOPLE SMART GOOD MENTOR REALLY THINK RESEARCH TRAINING GREAT LEADER KEEP GREAT WORK
UgjSbD2eqrAQKngCoAEC,9pr1oE34bIM,The white race is the racist race.,True,False,False,False,False,True,True,False,False,False,False,False,THE WHITE RACE IS THE RACIST RACE,"['WHITE', 'RACE', 'RACIST', 'RACE']",WHITE RACE RACIST RACE
UghapSmu_S6V1ngCoAEC,9pr1oE34bIM,hahahahaha molyneux reciting rap lyrics too intense,False,False,False,False,False,False,False,False,False,False,False,False,HAHAHAHAHA MOLYNEUX RECITING RAP LYRICS TOO INTENSE,"['MOLYNEUX', 'RECITE', 'RAP', 'LYRIC', 'INTENSE']",MOLYNEUX RECITE RAP LYRIC INTENSE
UgjqUwip_APfmXgCoAEC,04kJtp6pVXI,"people get shot everyday, how come this is the only one thats getting attention ",False,False,False,False,False,False,False,False,False,False,False,False,PEOPLE GET SHOT EVERYDAY HOW COME THIS IS THE ONLY ONE THATS GETTING ATTENTION,"['PEOPLE', 'SHOOT', 'EVERYDAY', 'COME', 'ONE', 'GET', 'ATTENTION']",PEOPLE SHOOT EVERYDAY COME ONE GET ATTENTION
UgguFITdgu455HgCoAEC,04kJtp6pVXI,Lol. This is what happens when the greedy rich slime keep the masses uneducated & ignorant. Now deal with the stupid that you created. Trying to reason with the irrational is an exercise in futility. Get the popcorn ready bc it's about to boil over. If you fall for the talk you will fall just walking. ,True,True,False,False,False,False,False,False,False,False,False,False,LOL THIS IS WHAT HAPPENS WHEN THE GREEDY RICH SLIME KEEP THE MASSES UNEDUCATED IGNORANT NOW DEAL WITH THE STUPID THAT YOU CREATED TRYING TO REASON WITH THE IRRATIONAL IS AN EXERCISE IN FUTILITY GET THE POPCORN READY BC ITS ABOUT TO BOIL OVER IF YOU FALL FOR THE TALK YOU WILL FALL JUST WALKING,"['LOL', 'HAPPEN', 'GREEDY', 'RICH', 'SLIME', 'KEEP', 'MASSE', 'UNEDUCATED', 'IGNORANT', 'DEAL', 'STUPID', 'CREATE', 'TRY', 'REASON', 'IRRATIONAL', 'EXERCISE', 'FUTILITY', 'GET', 'POPCORN', 'READY', 'BOIL', 'FALL', 'TALK', 'FALL', 'WALK']",LOL HAPPEN GREEDY RICH SLIME KEEP MASSE UNEDUCATED IGNORANT DEAL STUPID CREATE TRY REASON IRRATIONAL EXERCISE FUTILITY GET POPCORN READY BOIL FALL TALK FALL WALK
UgiTynItZhDJ4XgCoAEC,9pr1oE34bIM,"I can't believe you are reciting the music he listened to. What does that have to do with a cop using excessive force. When cops can become judge, jury and executioner we as a society are screwed. The issue is cops that do not get trained on escalation of force and do not use or have non lethal means to apprehend civilian suspects.",False,False,False,False,False,False,False,False,False,False,False,False,I CANT BELIEVE YOU ARE RECITING THE MUSIC HE LISTENED TO WHAT DOES THAT HAVE TO DO WITH A COP USING EXCESSIVE FORCE WHEN COPS CAN BECOME JUDGE JURY AND EXECUTIONER WE AS A SOCIETY ARE SCREWED THE ISSUE IS COPS THAT DO NOT GET TRAINED ON ESCALATION OF FORCE AND DO NOT USE OR HAVE NON LETHAL MEANS TO APPREHEND CIVILIAN SUSPECTS,"['BELIEVE', 'RECITE', 'MUSIC', 'LISTEN', 'COP', 'USE', 'EXCESSIVE', 'FORCE', 'COP', 'BECOME', 'JUDGE', 'JURY', 'EXECUTIONER', 'SOCIETY', 'SCREW', 'ISSUE', 'COP', 'TRAIN', 'ESCALATION', 'FORCE', 'USE', 'NON', 'LETHAL', 'MEAN', 'APPREHEND', 'CIVILIAN', 'SUSPECT']",BELIEVE RECITE MUSIC LISTEN COP USE EXCESSIVE FORCE COP BECOME JUDGE JURY EXECUTIONER SOCIETY SCREW ISSUE COP TRAIN ESCALATION FORCE USE NON LETHAL MEAN APPREHEND CIVILIAN SUSPECT
Uggag40IEfpGlXgCoAEC,bUgKZMSxr3E,"If the injustice was against white kids, would there be ANY excuse?",True,True,False,True,False,False,False,False,False,False,False,False,IF THE INJUSTICE WAS AGAINST WHITE KIDS WOULD THERE BE ANY EXCUSE,"['INJUSTICE', 'WHITE', 'KID', 'EXCUSE']",INJUSTICE WHITE KID EXCUSE
